Suburb,Address,Rooms,Type,Price,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,CouncilArea
Glen Waverley,2/32 Wilson Rd,3,t,1250000,8,3,2,374,267,2015,-37.7507,144.8911,Moonee Valley City Council
Meadow Heights,1/2 Dakara Cl,3,h,1130000,8,1,1,646,100,1950,-37.7502,144.8923,Moonee Valley City Council
Mordialloc,3/2 Woods Av,1,u,370000,8,1,3,0,55,1975,-37.7569,144.9256,Moonee Valley City Council
Newport,102 Market St,3,h,1226000,8,1,3,533,125,1955,-37.7462,144.8953,Moonee Valley City Council
Niddrie,8 Goble St,4,h,1275000,8,2,2,503,160,2008,-37.7513,144.8925,Moonee Valley City Council
Niddrie,64 Muriel St,4,h,1385000,8,2,1,619,137,1930,-37.7543,144.9318,Moonee Valley City Council
Northcote,31 Gladstone Av,3,t,650000,8,2,1,160,129,1985,-37.7403,144.8989,Moonee Valley City Council
Yallambie,9 Marigolds Rd,3,u,520000,8,1,2,0,73,1975,-37.7486,144.9072,Moonee Valley City Council
Balwyn North,57 Cityview Rd,5,h,1575000,8,3,2,700,454,1988,-37.7461,144.9173,Moonee Valley City Council
Brighton East,15 Bayview Rd,3,u,280000,8,1,1,0,49,1960,-37.7475,144.9194,Moonee Valley City Council
Brunswick,12 Westbourne St,4,h,1134000,8,1,1,551,114,1950,-37.7571,144.9335,Moonee Valley City Council
Bulleen,10 Sandra St,4,h,1470000,8,1,1,687,120,2016,-37.7442,144.9045,Moonee Valley City Council
Camberwell,643 Riversdale Rd,5,u,390000,8,1,1,0,66,1970,-37.7554,144.9127,Moonee Valley City Council
Carrum Downs,8 Kieran Ct,3,u,1170000,8,2,2,0,180,2013,-37.7465,144.91,Moonee Valley City Council
Craigieburn,6 Valley Ct,3,h,1600000,8,3,1,519,218,1930,-37.7517,144.9086,Moonee Valley City Council
Dallas,15 Mildura Cr,3,u,435000,8,1,1,0,66,1970,-37.7461,144.9079,Moonee Valley City Council
Fawkner,6A Vervale Av,3,h,2355000,8,2,3,715,273,1920,-37.7582,144.9128,Moonee Valley City Council
Gladstone Park,16 Hall Rd,3,u,645000,8,1,1,170,88,1994,-37.7475,144.8959,Moonee Valley City Council
Glen Waverley,2 Louise Ct,5,h,1270000,8,2,2,411,266,1996,-37.757,144.9251,Moonee Valley City Council
Greenvale,10 Barlby Ct,3,h,1445000,8,2,1,400,168,1910,-37.7542,144.9117,Moonee Valley City Council
Coburg,41 Service St,3,h,1113000,8,1,2,533,127,1950,-37.7509,144.8922,Moonee Valley City Council
Coburg,13 Shaftsbury St,4,h,750000,7.5,1,1,236,114,2000,-37.75403,144.8867,Moonee Valley City Council
Coburg,11/5 Industry La,2,u,507000,7.5,1,1,0,80,1960,-37.75571,144.90366,Moonee Valley City Council
Coburg,23 Berry St,3,h,1556000,7.5,3,2,334,277,2016,-37.74999,144.89622,Moonee Valley City Council
Coburg,27 Bruce St,3,h,910000,9.7,2,2,533,204,1965,-37.7189,144.9044,Moonee Valley City Council
Coburg,3/30 Shaftsbury St,2,h,2000000,8.2,3,4,608,355,1999,-37.73681,144.90587,Moonee Valley City Council
Coburg,32A Kelson St,3,h,1610000,8.2,3,2,861,274,1955,-37.73154,144.92243,Moonee Valley City Council
Coburg,37 Kelson St,3,t,800000,8.2,2,1,161,149,2012,-37.73566,144.89368,Moonee Valley City Council
Coburg,14 Rose St,4,h,1300000,8.2,1,0,717,104,1950,-37.72794,144.92021,Moonee Valley City Council
Coburg,1/51 The Grove,2,h,1260000,12.5,2,2,697,277,2012,-37.7141,144.8995,Moonee Valley City Council
Coburg,5 Saunders St,4,u,396000,9.4,1,1,0,56,1975,-37.7428,144.9086,Moonee Valley City Council
Coburg North,15 Ronald St,3,u,765000,9.4,2,1,0,134,2002,-37.7364,144.8977,Moonee Valley City Council
Coburg North,3/1 Headley St,3,u,712000,9.4,2,2,189,104,2009,-37.7374,144.9006,Moonee Valley City Council
Coburg North,4 Pixel Cct,3,h,1500000,8.2,2,2,607,183,1950,-37.73765,144.91576,Moonee Valley City Council
Coburg North,27 McMahons Rd,3,h,1430000,9.7,1,1,694,158,1950,-37.7411,144.9262,Moonee Valley City Council
Coburg North,13 Pixel Cct,3,h,850000,9.7,3,3,250,207,2016,-37.7189,144.9036,Moonee Valley City Council
Coburg North,127 Elizabeth St,3,h,1150000,9.7,2,3,696,164,1950,-37.7261,144.9171,Moonee Valley City Council
Coburg North,143 Elizabeth St,4,h,1500000,9.7,2,4,722,196,1950,-37.7427,144.9226,Moonee Valley City Council
Coburg North,24 Norris St,4,h,1370000,9.7,2,2,908,208,1960,-37.735,144.9203,Moonee Valley City Council
Collingwood,110/3 Hoddle St,1,h,1220000,8.2,1,2,750,185,1960,-37.73051,144.91731,Moonee Valley City Council
Collingwood,5/77 Little Oxford St,3,h,700000,10.4,1,1,590,130,1970,-37.7219,144.85239,Brimbank City Council
Collingwood,6 Forest St,2,u,510000,11.2,1,1,167,69,2013,-37.7343,144.8824,Moonee Valley City Council
Collingwood,10/76 Oxford St,2,u,500000,11.2,1,1,1218,94,2012,-37.736,144.8886,Moonee Valley City Council
Doncaster,19 Hanke Rd,3,h,510000,13.5,1,1,488,217,1960,-37.7191,144.8857,Moonee Valley City Council
Doncaster,2 Nola St,3,h,1130000,10.4,2,2,650,163,1975,-37.73435,144.8768,Moonee Valley City Council
Doncaster,5 Arnold Gr,4,h,1006000,10.4,2,1,270,178.7,2008,-37.74266,144.88577,Moonee Valley City Council
Doncaster,22 Saxon St,4,h,730000,10.4,1,1,377,111,1970,-37.72313,144.87527,Moonee Valley City Council
Doncaster,33 Somerville St,4,h,926000,10.4,1,2,614,129,1960,-37.71757,144.88228,Moonee Valley City Council
Doncaster,36 Henry St,5,h,1300000,10.4,1,4,646,150,1950,-37.7415,144.88923,Moonee Valley City Council
Doncaster,49 Burgundy Dr,5,h,965000,10.4,2,1,730,125,1950,-37.7204,144.87419,Moonee Valley City Council
Doncaster,5/333 George St,3,h,870000,10.4,3,2,976,186,1980,-37.72394,144.87348,Moonee Valley City Council
Doncaster,24 Outlook Dr,3,h,845000,10.4,3,3,612,30,1970,-37.72483,144.87087,Moonee Valley City Council
Doncaster,3/11 Frank St,4,h,1050000,10.4,3,4,711,226,2013,-37.73644,144.87941,Moonee Valley City Council
Doncaster,394 Manningham Rd,3,h,600000,13.5,1,1,290,116,1980,-37.7273,144.8744,Moonee Valley City Council
Doncaster,7 Botanic Dr,4,t,700000,13.5,2,2,165,133,2009,-37.727,144.887,Moonee Valley City Council
Eaglemont,61 Glenard Dr,4,h,1300000,10.4,3,2,314,270,2017,-37.741,144.88474,Moonee Valley City Council
Eaglemont,2/84 The Righi,3,h,722000,14.5,1,1,695,141,1970,-37.7259,144.8579,Brimbank City Council
Eaglemont,20 Glenard Dr,4,t,856000,10.4,2,1,300,212,2011,-37.71917,144.87819,Moonee Valley City Council
Elsternwick,1/34 Clarence St,3,h,850000,10.4,1,2,551,96,1950,-37.72739,144.88235,Moonee Valley City Council
Elsternwick,17 Staniland Gr,4,h,1135000,10.4,1,1,621,105,1950,-37.73771,144.88654,Moonee Valley City Council
Elsternwick,21 Liscard St,3,h,845000,10.4,1,1,345,111,1950,-37.73901,144.89154,Moonee Valley City Council
Elsternwick,17/39 Horne St,3,h,750000,10.4,2,2,761,222,1980,-37.72224,144.85739,Brimbank City Council
Elsternwick,87 Orrong Rd,3,h,749000,12.9,2,2,561,160,1970,-37.68269,144.88601,Hume City Council
Elsternwick,53 Shoobra Rd,4,h,680000,13.6,2,1,277,168,2010,-37.7039,144.8986,Moreland City Council
Elwood,8/44 Southey St,1,h,650000,12.9,1,4,549,114,1980,-37.6916,144.8982,Hume City Council
Elwood,12/27 Dickens St,2,h,485000,13.6,2,1,175,134,2004,-37.7076,144.8961,Moreland City Council
Elwood,8/203 Brighton Rd,2,h,610000,12.9,1,1,606,115,1980,-37.6995,144.89012,Hume City Council
Elwood,6/43 Milton St,2,h,735000,12.9,2,2,634,191,1981,-37.69594,144.87857,Brimbank City Council
Elwood,32 Burns St,4,h,610000,12.9,1,1,534,150,1980,-37.69211,144.87562,Brimbank City Council
Elwood,2/509 St Kilda St,3,h,805000,12.9,1,4,802,108,1960,-37.6899,144.87418,Brimbank City Council
Glen Iris,16 Flowerdale Rd,5,h,620000,12.9,2,3,530,115,1980,-37.69822,144.89216,Hume City Council
Glen Iris,2/67 Staughton Rd,3,h,790000,12.9,2,4,371,176,2014,-37.70212,144.90104,Moreland City Council
Glen Iris,116 High St,5,h,630000,12.9,2,2,542,126,1984,-37.70147,144.89095,Hume City Council
Glen Iris,17 Rosedale Rd,2,h,540000,12.9,1,1,607,102,1970,-37.69423,144.88002,Brimbank City Council
Glen Iris,31 Gardiner Pde,4,h,619500,12.9,2,2,552,114,1970,-37.69758,144.88911,Hume City Council
Glen Iris,32 Howie St,3,h,822000,12.9,1,1,778,112,1960,-37.70321,144.87972,Brimbank City Council
Glen Iris,78 Valley Pde,4,h,615500,12.9,2,1,238,118,2011,-37.70322,144.88236,Brimbank City Council
Glen Iris,1687 Malvern Rd,3,h,1210000,8.5,2,1,330,226,2012,-37.72623,144.94521,Moreland City Council
Glen Iris,60 Madeline St,3,h,1114000,8.5,2,2,256,190,2017,-37.72034,144.93788,Moreland City Council
Glen Iris,15 Yeovil Rd,4,h,955000,9.9,2,2,686,135,1950,-37.731,144.9486,Moreland City Council
Glen Iris,3 Fairview Gr,5,t,480000,9.9,1,1,113,94,1988,-37.7269,144.9274,Moreland City Council
Glenroy,39 Morley St,3,t,605000,9.9,2,1,215,157,1990,-37.7247,144.9257,Moreland City Council
Glenroy,3/27 Harold St,2,t,790000,9.9,3,1,291,175,2009,-37.7271,144.9261,Moreland City Council
Glenroy,30 Bourchier St,3,t,500000,9.9,1,1,147,109,2012,-37.7209,144.93,Moreland City Council
Glenroy,45 Cosmos St,5,t,550500,9.9,1,2,135,100,2012,-37.7242,144.9411,Moreland City Council
Glenroy,9/11 Currajong St,2,t,610000,9.9,1,1,169,109,1995,-37.7186,144.9306,Moreland City Council
Glenroy,24 Sadie St,3,h,600000,9.9,1,4,557,111,1955,-37.7156,144.943,Moreland City Council
Glenroy,1/25 Morell St,3,h,960000,9.9,1,2,641,111,1950,-37.7253,144.938,Moreland City Council
Glenroy,2/36 Prospect St,4,h,670000,9.9,1,1,596,145,1949,-37.721,144.9514,Moreland City Council
Glenroy,2/709 Pascoe Vale Rd,3,h,880000,9.9,2,2,588,106,1960,-37.7283,144.9356,Moreland City Council
Glenroy,48 Everard St,3,h,525500,9.9,1,1,111,84,2000,-37.7261,144.9336,Moreland City Council
Glenroy,1/38 Stanley St,2,h,612500,9.9,1,1,522,132,1950,-37.7187,144.9514,Moreland City Council
Glenroy,107 Glenroy Rd,4,u,248500,9.9,1,1,49,49,1970,-37.7152,144.9402,Moreland City Council
Glenroy,23 Cromwell St,3,h,960000,9.9,2,2,501,501,1960,-37.7258,144.9347,Moreland City Council
Gowanbrae,42 Seggan Cir,3,h,599000,9.9,1,1,534,100,1950,-37.7215,144.951,Moreland City Council
Hadfield,26 South St,3,h,585000,9.9,1,1,0,129,2000,-37.7243,144.9473,Moreland City Council
Elsternwick,41 Bertram St,3,h,708000,9.9,1,2,321,94,1950,-37.7242,144.9424,Moreland City Council
Epping,15 Winchester Av,3,t,710000,8.5,2,2,1021,150,2003,-37.71725,144.94551,Moreland City Council
Fawkner,10 Kathryn St,4,h,750000,8.5,2,1,658,112,1950,-37.726,144.947,Moreland City Council
Frankston North,23 Plantation Av,3,h,1199000,8.5,2,4,689,165.5,1950,-37.73072,144.94829,Moreland City Council
Greensborough,514 Greensborough Rd,3,t,826000,8.5,2,2,584,118,2017,-37.71907,144.93828,Moreland City Council
Hoppers Crossing,133 Mossfiel Dr,3,t,585500,8.5,1,1,100,105,2012,-37.7249,144.9474,Moreland City Council
Kew,60 Pakington St,4,h,860000,8.5,1,1,403,128,1959,-37.72644,144.9445,Moreland City Council
Kurunjang,9 Kirkton Dr,3,h,780000,8.5,2,3,555,128,1950,-37.71561,144.94336,Moreland City Council
Mitcham,41 Owen St,3,t,810000,8.5,2,1,158,120,2005,-37.7302,144.92928,Moreland City Council
Watsonia,11 Rushworth St,3,h,940000,8.5,1,1,559,109,1955,-37.7327,144.92966,Moreland City Council
Albert Park,161 Kerferd Rd,4,h,700000,11.2,2,1,655,82,1950,-37.69558,144.93223,Moreland City Council
Ascot Vale,5 Moonee St,3,t,595000,11.2,2,1,201,111,2005,-37.71147,144.93927,Moreland City Council
Bentleigh,1 Donaldson St,3,u,565000,11.2,1,2,193,105,1995,-37.70612,144.9144,Moreland City Council
Bentleigh East,31 Pasadena Cr,3,h,810000,11.5,1,3,763,93,1960,-37.7178,144.9121,Moreland City Council
Bentleigh East,2 Warwick St,3,h,855333,11.5,1,2,694,183,1974,-37.718,144.9138,Moreland City Council
Berwick,38 Bellevue Dr,3,h,1051000,11.2,2,2,913,112,1950,-37.70072,144.91662,Moreland City Council
Cheltenham,8 Brownfield St,3,h,755000,11.5,2,1,341,170,2003,-37.7166,144.9104,Moreland City Council
Clayton South,8 Alward Av,2,h,806500,13,1,2,766,127,1965,-37.6988,144.9372,Moreland City Council
Coburg,3 Rennie St,3,u,430000,13,1,1,164,100,2010,-37.7072,144.9252,Moreland City Council
Croydon North,11A Janson Ct,3,h,670000,13,1,4,734,140,1960,-37.7007,144.9378,Moreland City Council
Doncaster East,85 Polaris Dr,4,h,810000,13,4,4,695,176,1950,-37.7028,144.9377,Moreland City Council
Endeavour Hills,1 Jordan Ct,4,u,250000,13,1,1,0,61,1970,-37.711,144.9178,Moreland City Council
Footscray,58 Cross St,3,h,793000,13,1,2,780,120,1960,-37.7,144.9427,Moreland City Council
Forest Hill,137 Mahoneys Rd,4,h,420000,13,1,2,0,96,1960,-37.7025,144.9504,Moreland City Council
Gisborne,3 Bloomfield Rd,3,t,607000,13,3,2,0,131,2014,-37.7102,144.9112,Moreland City Council
Gladstone Park,16 Tecoma Ct,3,u,470000,13,1,2,187,99,2014,-37.7098,144.9163,Moreland City Council
Glenroy,82 Paget Av,3,h,580000,13,1,2,650,142,1960,-37.7002,144.9408,Moreland City Council
Hampton,3 Banks Av,3,u,620250,13,1,2,253,91,2012,-37.7117,144.9135,Moreland City Council
Hoppers Crossing,11 Beckford Cl,4,h,1000000,13,2,8,977,304,1935,-37.7063,144.9273,Moreland City Council
Jacana,1 Biltris Ct,3,h,660000,13,1,2,657,116,1950,-37.7019,144.9225,Moreland City Council
Keilor East,12 Fawkner Cr,3,h,810000,12.1,2,2,592,129,1950,-37.7149,144.9473,Moreland City Council
Maribyrnong,26 Riverbank Dr,4,h,752000,11.2,1,1,580,92,1960,-37.69913,144.92563,Moreland City Council
Melton West,42 Sovereign Bvd,4,h,780000,11.2,1,1,570,123,1960,-37.71611,144.91064,Moreland City Council
Mernda,12 Halliday Rd,3,h,780000,11.2,1,2,697,131.3,1960,-37.69795,144.94285,Moreland City Council
Middle Park,307 Beaconsfield Pde,4,h,730000,11.2,3,2,597,145,1960,-37.71178,144.94426,Moreland City Council
Mount Waverley,378 Waverley Rd,3,h,512000,11.2,1,2,197,96,2003,-37.70489,144.91033,Moreland City Council
Oak Park,104 Vincent St,3,h,880000,11.2,2,3,619,140,1950,-37.70994,144.90987,Moreland City Council
Pascoe Vale,170 Boundary Rd,3,h,685000,11.2,1,2,550,107,1970,-37.70202,144.94064,Moreland City Council
Port Melbourne,13 Park Sq,4,h,810000,11.2,3,2,909,342,1990,-37.695,144.91038,Moreland City Council
Rowville,15 Liviana Dr,4,h,780000,13,1,2,742,101,1970,-37.702,144.9538,Moreland City Council
Seaford,135 Fortescue Av,4,h,895000,13,1,2,697,148,1955,-37.7097,144.9256,Moreland City Council
Taylors Lakes,18 Burnett Cl,4,t,645000,13,1,1,227,152,2013,-37.6979,144.941,Moreland City Council
Tullamarine,58 Tadstan Dr,4,h,1200000,11.2,2,2,672,240,2016,-37.71136,144.91981,Moreland City Council
Werribee,20 Julian St,3,h,772000,11.2,1,4,590,135,1955,-37.70716,144.93744,Moreland City Council
Wheelers Hill,39 Haversham Av,4,h,820000,11.2,1,4,650,135,1950,-37.70768,144.92586,Moreland City Council
Aberfeldie,48 Fawkner St,4,t,545000,11.2,1,1,0,80,2013,-37.71652,144.92268,Moreland City Council
Airport West,25 Glenys Av,3,h,1300000,11.2,2,2,866,175,1960,-37.71979,144.92341,Moreland City Council
Airport West,108 Victory Rd,3,h,1260000,11.2,2,2,656,204,1960,-37.71652,144.91211,Moreland City Council
Bentleigh East,14 Richard St,4,h,575500,14,1,1,662,98,1960,-37.68988,144.91113,Hume City Council
Brunswick,20 Downs St,5,h,515000,14,1,2,552,92,1960,-37.67254,144.94204,Hume City Council
Pascoe Vale,120 Derby St,3,h,475000,14,1,1,588,94,1960,-37.667,144.9366,Hume City Council
Reservoir,14 MacKenzie St,3,h,570000,14,1,0,723,76,1960,-37.69064,144.91105,Hume City Council
South Morang,22 Gabriel Tce,4,t,540000,14,2,2,229,134,2009,-37.68188,144.92893,Hume City Council
Essendon,35 Washington St,5,h,620000,14,2,3,780,117,1970,-37.67024,144.94737,Hume City Council
Frankston North,1 Monterey Bvd,3,h,505000,14,1,1,546,109,2000,-37.67411,144.94677,Hume City Council
Glen Waverley,91 Orchard St,4,h,695000,14,3,3,591,281,2008,-37.66746,144.9395,Hume City Council
Hawthorn,14/36 Lisson Gr,1,h,475000,14,1,2,560,108,1965,-37.67345,144.92526,Hume City Council
Kew East,11 Arden Ct,4,h,642500,14,1,3,690,84,1960,-37.68671,144.93028,Hume City Council
Kew East,7 Riverside Dr,3,h,770000,14,1,1,803,103,1950,-37.68333,144.92196,Hume City Council
Keysborough,2 Eildon Dr,4,t,465000,14,2,3,248,123.2,2010,-37.68358,144.92387,Hume City Council
Malvern,6/36 Johnstone St,2,h,698000,14,1,4,632,90,1970,-37.69193,144.92779,Hume City Council
Melton South,1 Tamar Dr,4,h,520000,14,2,5,578,96,1960,-37.66698,144.94497,Hume City Council
Melton West,2 Fairbank Pl,5,h,477000,14,1,1,627,97,1960,-37.66781,144.93809,Hume City Council
Mentone,70 Voltri St,3,h,450000,17.4,1,1,702,96,1970,-37.66059,144.92006,Hume City Council
Mount Waverley,2/36 Swayfield Rd,3,h,520000,17.4,1,1,631,111,1960,-37.66004,144.92338,Hume City Council
North Melbourne,22 Melrose St,2,u,420000,17.4,1,1,658,94,1990,-37.64821,144.92527,Hume City Council
Oakleigh East,41 Clayton Rd,2,h,473000,17.4,1,2,501,129,1992,-37.64343,144.91193,Hume City Council
Preston,121 Murray Rd,4,h,535000,17.4,1,4,572,105,1980,-37.65905,144.92347,Hume City Council
Sandringham,5 Tennyson St,4,t,360000,17.4,1,1,154,108,2008,-37.64992,144.91883,Hume City Council
Taylors Hill,16 Kirribilli Bvd,3,h,457000,17.4,1,2,551,118,1975,-37.65532,144.93393,Hume City Council
Templestowe Lower,1/285 Thompsons Rd,4,h,791000,16.5,2,6,813,140,1960,-37.67631,144.89409,Hume City Council
Thornbury,6/10 Dundas St,2,u,785000,1.8,2,1,0,95,2008,-37.80202,144.95104,Melbourne City Council
Toorak,2/641 Toorak Rd,2,h,970000,1.8,1,0,102,66,1900,-37.79489,144.94207,Melbourne City Council
Werribee,10 Wallara Rd,3,u,799000,1.8,1,1,0,73,1900,-37.79999,144.94961,Melbourne City Council
West Footscray,6 Argyle St,3,u,726000,2.3,1,1,0,64,1970,-37.7936,144.9426,Melbourne City Council
Altona North,242 Mason St,3,u,640000,2.3,2,1,0,84,2006,-37.802,144.9459,Melbourne City Council
Black Rock,6/56 Red Bluff St,2,h,990000,2.3,2,1,584,120,2008,-37.8016,144.9508,Melbourne City Council
Briar Hill,1A Campbell Rd,2,h,1230000,2.6,2,2,357,249,2009,-37.7767,144.9403,Melbourne City Council
Brighton East,17 Florence St,4,h,2236000,2.6,2,1,154,196,1890,-37.7934,144.9562,Melbourne City Council
Brunswick,176 Barkly St,3,u,490000,1.8,1,1,0,51,2009,-37.7998,144.9689,Melbourne City Council
Brunswick,135 Victoria St,4,t,1750000,1.6,2,2,2399,138,1998,-37.79782,144.96664,Melbourne City Council
Carnegie,14 Morgan St,3,h,1616000,1.8,1,0,152,139,1890,-37.7966,144.9709,Melbourne City Council
Dingley Village,11 Kimber Ct,4,u,589000,1.8,1,1,0,63,1999,-37.7986,144.9682,Melbourne City Council
Elwood,16/30 Shelley St,2,h,800000,3.2,1,1,73,104,2009,-37.7852,144.9719,Melbourne City Council
Epping,10 Efficient St,3,h,2050000,3.2,2,0,84,148,1970,-37.7879,144.9736,Melbourne City Council
Essendon,37 McPhail St,2,h,1065000,3.5,1,0,96,80,1880,-37.788,144.96978,Melbourne City Council
Essendon North,2/9 Grace St,3,h,1520000,3.5,1,1,193,106,1900,-37.78406,144.97494,Melbourne City Council
Glen Waverley,10/18 Tulloch Gr,3,u,521500,5.9,1,1,0,69,1960,-37.768,144.9408,Moreland City Council
Glenroy,80 Gowrie St,3,h,1190000,5.9,1,1,0,119,1920,-37.7564,144.9422,Moreland City Council
Heidelberg,3/5 Austral Ct,4,u,300000,5.9,1,0,0,37,1960,-37.7763,144.947,Moreland City Council
Heidelberg,57 Quinn St,4,u,400000,5.9,1,1,73,64,1960,-37.7528,144.9368,Moreland City Council
Heidelberg Heights,1/5 Glover St,3,h,1330000,5.9,1,2,353,101,1930,-37.764,144.9428,Moreland City Council
Sunshine West,23 Glengala Rd,3,h,1205000,5.9,3,1,447,287,1982,-37.7634,144.9403,Moreland City Council
Sunshine West,4 Day St,3,u,380000,5.9,1,1,0,62,1970,-37.7676,144.9394,Moreland City Council
Sunshine West,18 Norton St,3,u,370000,5.9,1,1,2120,59,1960,-37.7524,144.9347,Moreland City Council
Surrey Hills,112 Croydon Rd,4,u,537000,5.9,1,1,501,66,1960,-37.7741,144.9449,Moreland City Council
Surrey Hills,95 Guildford Rd,4,t,815000,5.9,1,2,157,123,1999,-37.7652,144.9454,Moreland City Council
Surrey Hills,29 Boisdale St,5,h,1345000,5.2,1,0,366,158,1925,-37.76285,144.94346,Moreland City Council
Surrey Hills,3/5 Florence Rd,3,h,875000,5.2,1,1,275,106,1910,-37.75918,144.94829,Moreland City Council
Surrey Hills,17 Weybridge St,3,h,1268000,5.2,2,2,645,217,1950,-37.76097,144.93933,Moreland City Council
Surrey Hills,17 Empress Rd,3,h,1445000,5.2,1,2,613,112,1950,-37.76883,144.94592,Moreland City Council
Surrey Hills,20 Anderson St,3,u,407500,5.9,1,1,1097,67,1970,-37.7686,144.9421,Moreland City Council
Surrey Hills,3/4 Wells St,2,h,1220000,5.9,1,1,335,113,1940,-37.766,144.945,Moreland City Council
Templestowe Lower,65 Glenair St,3,h,2230000,5.2,2,3,851,287,1940,-37.7637,144.9662,Moreland City Council
Templestowe Lower,271 High St,4,u,272500,5.2,1,1,0,40,1970,-37.762,144.9647,Moreland City Council
Templestowe Lower,3 Buller Tce,3,h,1115000,5.2,1,0,264,139,1900,-37.7611,144.9677,Moreland City Council
Templestowe Lower,62 Hodgson St,5,h,1125000,5.2,1,1,278,91,1910,-37.7701,144.9633,Moreland City Council
Templestowe Lower,132 Templestowe Rd,4,t,685000,5.2,2,1,0,100,2002,-37.7617,144.9642,Moreland City Council
Templestowe Lower,16 Rosa St,3,h,976000,5.2,2,1,240,162,2005,-37.756,144.9587,Moreland City Council
Thornbury,3/125 Fyffe St,2,h,1350000,5.2,1,1,370,151,1940,-37.7728,144.9639,Moreland City Council
Thornbury,2/54 Pender St,1,h,1045000,5.2,1,2,222,105,1890,-37.7642,144.969,Moreland City Council
Thornbury,220a Mansfield St,3,h,1260000,5.2,1,6,563,98,1960,-37.7757,144.9505,Moreland City Council
Thornbury,52a Leinster Gr,3,u,601000,5.2,1,1,0,57,1970,-37.7778,144.9594,Moreland City Council
Thornbury,50 Leinster Gr,3,h,705000,5.2,1,1,161,68,1910,-37.7646,144.9586,Moreland City Council
Thornbury,3/57 Pender St,1,u,590000,5.2,1,1,0,74,2004,-37.7703,144.9533,Moreland City Council
Thornbury,7/67 Pender St,2,u,575000,5.2,1,1,0,66,1950,-37.7775,144.9607,Moreland City Council
Thornbury,50b Clyde St,3,h,1510000,5.2,1,0,325,150,1920,-37.7621,144.9595,Moreland City Council
Thornbury,109 Rossmoyne St,3,h,1020000,5.2,1,3,308,119,1943,-37.7649,144.9641,Moreland City Council
Thornbury,4/85 St David St,2,h,1410000,5.2,2,1,460,214,1916,-37.7554,144.9544,Moreland City Council
Thornbury,337 Rossmoyne St,4,h,772000,5.2,1,1,147,82,1890,-37.7643,144.9584,Moreland City Council
Thornbury,126 Smith St,3,h,1005000,5.2,1,1,140,68,1890,-37.75908,144.96959,Moreland City Council
Toorak,10/1 Ruabon Rd,2,h,1470000,5.2,2,1,464,161,1925,-37.762,144.9518,Moreland City Council
Toorak,7a Woorigoleen Rd,3,h,1530000,5.2,2,2,467,181,1915,-37.75607,144.95562,Moreland City Council
Toorak,4 Matthews Ct,3,h,1925000,5.2,1,4,479,182,1925,-37.77694,144.96669,Moreland City Council
Toorak,11 Church St,3,h,1500000,5.2,1,1,318,100,1908,-37.76792,144.97141,Moreland City Council
Toorak,7/36 Grange Rd,1,h,1204000,5.2,1,0,186,101,1890,-37.76227,144.95649,Moreland City Council
Toorak,3/1085 Malvern Rd,3,h,1150000,5.2,1,2,398,107,1890,-37.76032,144.95981,Moreland City Council
Toorak,11/38 Grange Rd,3,h,1210000,5.2,1,0,282,112,1900,-37.7674,144.966,Moreland City Council
Toorak,9/28 Power St,2,u,528000,5.2,1,1,0,58,2010,-37.7767,144.9676,Moreland City Council
Toorak,28 Bruce St,3,t,981000,5.2,2,1,122,140,2012,-37.7698,144.9661,Moreland City Council
Viewbank,44 Martins La,4,u,585000,5.2,1,1,430,258,2006,-37.7609,144.9623,Moreland City Council
Viewbank,3 The Nook,4,h,1315000,5.2,1,1,234,106,1910,-37.77539,144.95576,Moreland City Council
Watsonia,4 French Ct,3,h,920000,5.2,1,1,240,109,1995,-37.75697,144.95543,Moreland City Council
Watsonia,57 Frensham Rd,3,h,650000,5.2,1,1,108,70,1970,-37.75715,144.96824,Moreland City Council
Watsonia,2/5 Marilyn Ct,3,h,1330000,4,2,1,161,190,1890,-37.77289,144.97503,Moreland City Council
West Melbourne,108/33 Jeffcott St,3,h,1310000,4.5,1,2,456,144,1950,-37.7638,144.9804,Moreland City Council
West Melbourne,7/88 Ireland St,3,h,1550000,4.5,2,2,470,191,1940,-37.7735,144.9833,Moreland City Council
Williamstown,54 Twyford St,3,h,1815000,4.5,1,1,233,204,1890,-37.7776,144.9727,Moreland City Council
Williamstown,2/20 Victoria St,3,t,899000,4.5,2,1,116,124,2007,-37.7667,144.9821,Moreland City Council
Williamstown,56 Verdon St,3,u,435000,4.5,1,1,197,55,2012,-37.7717,144.9719,Moreland City Council
Williamstown,8/99 Verdon St,1,h,2300000,4,2,1,416,241,1915,-37.77766,144.97604,Moreland City Council
Williamstown,4/54 Yarra St,2,h,1310000,4.5,1,2,449,159,1930,-37.7671,144.9762,Moreland City Council
Williamstown,104 Hannan St,4,h,1283000,4.5,1,1,263,109,1910,-37.7661,144.9742,Moreland City Council
Williamstown,118 Hannan St,3,h,1200000,4,1,1,182,96,1880,-37.77523,144.97479,Moreland City Council
Windsor,6/10 Wrexham Rd,1,h,1105000,4,1,2,173,79,1890,-37.77524,144.97529,Moreland City Council
Abbotsford,16 Federation La,3,h,620000,4,1,1,123,79,1960,-37.7784,144.97404,Moreland City Council
Balwyn North,41 Harrington Av,5,h,683000,4,1,1,0,91,1970,-37.77818,144.97412,Moreland City Council
